Date,Open,High,Low,Close,Adj Close,Volume
6/12/2018,1131.069946,1139.790039,1130.734985,1139.319946,1139.319946,912000
6/13/2018,1141.119995,1146.5,1133.380005,1134.790039,1134.790039,1506400
6/14/2018,1143.849976,1155.469971,1140.640015,1152.119995,1152.119995,1343400
6/15/2018,1148.859985,1153.420044,1143.484985,1152.26001,1152.26001,2122500
6/18/2018,1143.650024,1174.310059,1143.589966,1173.459961,1173.459961,1413700
6/19/2018,1158.5,1171.27002,1154.01001,1168.060059,1168.060059,1621000
6/20/2018,1175.310059,1186.286011,1169.160034,1169.839966,1169.839966,1648500
6/21/2018,1174.849976,1177.295044,1152.232056,1157.660034,1157.660034,1238100
6/22/2018,1159.140015,1162.496948,1147.26001,1155.47998,1155.47998,1311000
6/25/2018,1143.599976,1143.910034,1112.780029,1124.810059,1124.810059,2157300
6/26/2018,1128,1133.209961,1116.659058,1118.459961,1118.459961,1563200
6/27/2018,1121.339966,1131.83606,1103.619995,1103.97998,1103.97998,1293900
6/28/2018,1102.089966,1122.310059,1096.01001,1114.219971,1114.219971,1072400
6/29/2018,1120,1128.227051,1115,1115.650024,1115.650024,1315100
7/2/2018,1099,1128,1093.800049,1127.459961,1127.459961,1217300
7/3/2018,1135.819946,1135.819946,1100.02002,1102.890015,1102.890015,679000
7/5/2018,1110.530029,1127.5,1108.47998,1124.27002,1124.27002,1066700
7/6/2018,1123.579956,1140.930054,1120.737061,1140.170044,1140.170044,996100
7/9/2018,1148.47998,1154.670044,1143.420044,1154.050049,1154.050049,909000
7/10/2018,1156.97998,1159.589966,1149.589966,1152.839966,1152.839966,798400
7/11/2018,1144.589966,1164.290039,1141,1153.900024,1153.900024,1120000
7/12/2018,1159.890015,1184.410034,1155.935059,1183.47998,1183.47998,1251400
